书名,详情链接,作者,评分,建平
恶意,https://book.douban.com/subject/3646172/,[日] 东野圭吾 ,8.4,['将手记体叙事的无限可能发挥得淋漓尽致']
狂热分子,https://book.douban.com/subject/3057556/,[美] 埃里克·霍弗 ,8.9,['探讨群众运动的共有特征']
象棋的故事,https://book.douban.com/subject/2158684/,[奥] 斯台芬·茨威格 ,9.1,['纳粹法西斯对人心灵的折磨及摧残']
你一生的故事,https://book.douban.com/subject/26295448/,[美] 特德·姜 ,8.6,['特德·姜科幻小说集']
世界尽头与冷酷仙境,https://book.douban.com/subject/1291809/,[日] 村上春树 ,8.6,['交叉平行蒙太奇']
论语,https://book.douban.com/subject/1964774/,中华书局 ,9.1,['仁远乎哉？我欲仁，斯仁至矣']
影响力,https://book.douban.com/subject/1786387/,[美] 罗伯特·西奥迪尼 ,8.6,['营销防骗指南']
稻草人手记,https://book.douban.com/subject/3607117/,三毛 ,8.9,['三毛在加纳利群岛上的生活']
夏洛的网,https://book.douban.com/subject/1036274/,[美] E.B.怀特 ,8.6,['一个蜘蛛和小猪的故事，写给孩子，也写给大人']
ZOO,https://book.douban.com/subject/2297697/,[日] 乙一 ,8.6,['噩梦中的一丝温度']
佐贺的超级阿嬷,https://book.douban.com/subject/2008284/,[日] 岛田洋七 ,8.7,['乐观的外婆却总有神奇的办法']
香水,https://book.douban.com/subject/1292416/,[德] 帕·聚斯金德 ,8.5,['每一次谋杀只因迷恋她们身上的味道']
世界的凛冬,https://book.douban.com/subject/26957760/,[英] 肯·福莱特 ,8.8,['我亲眼目睹，每一个迈向死亡的生命都在热烈地生长']
牡丹亭,https://book.douban.com/subject/1073708/,汤显祖 ,9.0,['不到园林，怎知春色如许']
步履不停,https://book.douban.com/subject/26963321/,[日] 是枝裕和 ,8.7,['人生路上，步履不停，总有那么一点来不及']
故事新编,https://book.douban.com/subject/2046909/,鲁迅 ,9.2,['拾取古代传说，取一点因由，随意点染']
毛姆短篇小说精选集,https://book.douban.com/subject/10774752/,(英)威廉·萨默塞特·毛姆 ,9.0,['在各种光怪陆离的场景中，迷失的人性引发了一连串的悲剧']
当呼吸化为空气,https://book.douban.com/subject/26896859/,[美] 保罗·卡拉尼什 ,8.8,['你在死亡中探究生命的意义，你见证生前的呼吸化作死后的空气']
