电影名称,详情链接,颗星,评分,评分人数
罗生门,https://movie.douban.com/subject/1291879/,rating45-t,8.8,224324人评价
终结者2：审判日,https://movie.douban.com/subject/1291844/,rating45-t,8.7,258675人评价
初恋这件小事,https://movie.douban.com/subject/4739952/,rating4-t,8.4,776555人评价
海洋,https://movie.douban.com/subject/3443389/,rating45-t,9.1,131842人评价
魂断蓝桥,https://movie.douban.com/subject/1293964/,rating45-t,8.8,204482人评价
可可西里,https://movie.douban.com/subject/1308857/,rating45-t,8.8,214292人评价
2001太空漫游,https://movie.douban.com/subject/1292226/,rating45-t,8.8,206826人评价
燃情岁月,https://movie.douban.com/subject/1295865/,rating45-t,8.8,218558人评价
城市之光,https://movie.douban.com/subject/1293908/,rating45-t,9.3,92468人评价
穿越时空的少女,https://movie.douban.com/subject/1937946/,rating45-t,8.6,300977人评价
牯岭街少年杀人事件,https://movie.douban.com/subject/1292329/,rating45-t,8.8,188721人评价
色，戒,https://movie.douban.com/subject/1828115/,rating45-t,8.5,498349人评价
新龙门客栈,https://movie.douban.com/subject/1292287/,rating45-t,8.6,324942人评价
青蛇,https://movie.douban.com/subject/1303394/,rating45-t,8.5,377951人评价
无耻混蛋,https://movie.douban.com/subject/1438652/,rating45-t,8.6,359228人评价
源代码,https://movie.douban.com/subject/3075287/,rating4-t,8.4,616119人评价
完美陌生人,https://movie.douban.com/subject/26614893/,rating45-t,8.5,409892人评价
阿飞正传,https://movie.douban.com/subject/1305690/,rating45-t,8.5,367513人评价
遗愿清单,https://movie.douban.com/subject/1867345/,rating45-t,8.6,275664人评价
血钻,https://movie.douban.com/subject/1428175/,rating45-t,8.7,261753人评价
大佛普拉斯,https://movie.douban.com/subject/27059130/,rating45-t,8.7,283226人评价
谍影重重2,https://movie.douban.com/subject/1308767/,rating45-t,8.7,265416人评价
香水,https://movie.douban.com/subject/1760622/,rating45-t,8.5,427801人评价
地球上的星星,https://movie.douban.com/subject/2363506/,rating45-t,8.9,153709人评价
九品芝麻官,https://movie.douban.com/subject/1297518/,rating45-t,8.5,401707人评价
战争之王,https://movie.douban.com/subject/1419936/,rating45-t,8.6,265883人评价
疯狂的麦克斯4：狂暴之路,https://movie.douban.com/subject/3592854/,rating45-t,8.6,377571人评价
谍影重重,https://movie.douban.com/subject/1304102/,rating45-t,8.6,317110人评价
步履不停,https://movie.douban.com/subject/2222996/,rating45-t,8.8,187400人评价
彗星来的那一夜,https://movie.douban.com/subject/25807345/,rating45-t,8.5,371665人评价
哈利·波特与火焰杯,https://movie.douban.com/subject/1309055/,rating45-t,8.5,366666人评价
猜火车,https://movie.douban.com/subject/1292528/,rating45-t,8.5,342884人评价
朗读者,https://movie.douban.com/subject/2213597/,rating45-t,8.6,374310人评价
浪潮,https://movie.douban.com/subject/2297265/,rating45-t,8.7,207341人评价
小萝莉的猴神大叔,https://movie.douban.com/subject/26393561/,rating4-t,8.4,365019人评价
驴得水,https://movie.douban.com/subject/25921812/,rating4-t,8.4,679125人评价
波西米亚狂想曲,https://movie.douban.com/subject/5300054/,rating45-t,8.7,420910人评价
再次出发之纽约遇见你,https://movie.douban.com/subject/6874403/,rating45-t,8.6,311754人评价
东京物语,https://movie.douban.com/subject/1291568/,rating45-t,9.2,93805人评价
聚焦,https://movie.douban.com/subject/25954475/,rating45-t,8.8,212889人评价
追随,https://movie.douban.com/subject/1397546/,rating45-t,8.9,135046人评价
千钧一发,https://movie.douban.com/subject/1300117/,rating45-t,8.8,180210人评价
我爱你,https://movie.douban.com/subject/5908478/,rating45-t,9.0,113515人评价
一次别离,https://movie.douban.com/subject/5964718/,rating45-t,8.7,199771人评价
黑鹰坠落,https://movie.douban.com/subject/1291824/,rating45-t,8.7,214872人评价
网络谜踪,https://movie.douban.com/subject/27615441/,rating45-t,8.6,390787人评价
四个春天,https://movie.douban.com/subject/27191492/,rating45-t,8.9,121840人评价
黑客帝国2：重装上阵,https://movie.douban.com/subject/1304141/,rating45-t,8.6,264761人评价
发条橙,https://movie.douban.com/subject/1292233/,rating45-t,8.6,285453人评价
